seed,t_s,objective_currency
8,19.319639682769775,909.924839
8,19.83605408668518,908.994709
8,21.84954071044922,908.994628
8,21.898181438446045,908.993433
8,21.900673151016235,908.992319
8,21.948013305664062,908.991124
8,22.753323316574097,908.989929
8,22.810985565185547,908.988734
8,22.846463918685913,908.987539
8,23.027310371398926,908.986344
8,23.06091809272766,908.958859
8,24.6694598197937,908.912309
8,24.678923845291138,908.911114
8,24.68427324295044,908.909919
8,24.690953969955444,908.908724
8,24.697725534439087,908.907529
8,24.705626964569092,908.906334
8,24.881206035614014,908.876459
8,37.133665323257446,897.642311
8,37.65504336357117,893.893111
8,38.82863521575928,890.253111
8,52.12812924385071,877.159006
8,54.224684953689575,877.016821
8,54.436739683151245,877.015626
9,3.5147390365600586,5167.037159
9,3.5747523307800293,5165.088528
9,8.639167308807373,1077.537396
9,13.01050329208374,886.521188
9,13.274473190307617,886.521145
9,13.278012037277222,886.521102
9,13.284154415130615,886.521059
9,13.290335178375244,886.521016
9,13.296884059906006,886.520973
9,13.3078773021698,886.52093
9,13.378089427947998,886.520887
9,13.391799211502075,886.520844
9,13.408427715301514,886.520801
9,13.425580501556396,886.520758
9,13.434754848480225,886.520715
9,13.457451105117798,886.520672
9,13.474008083343506,886.520629
9,13.504239559173584,886.520586
9,13.529243469238281,886.520543
9,13.553701400756836,886.349274
9,13.557878255844116,886.349059
9,13.560829401016235,886.349016
9,13.576324224472046,886.348973
9,13.593957424163818,886.34893
9,15.397602081298828,886.17779
9,15.715692281723022,885.98209
9,22.879621744155884,884.703709
9,29.30697202682495,884.694862
9,29.396910190582275,884.694819
10,3.630311965942383,5167.037159
10,3.720982789993286,5165.088528
10,6.902477264404297,5004.904378
10,10.266090154647827,1802.818989
10,13.619760751724243,1778.859647
10,13.624099493026733,1778.859604
10,13.628391027450562,1778.859561
10,13.632890939712524,1778.858576
10,13.638093709945679,1778.858533
10,13.64250659942627,1778.857548
10,13.647634744644165,1778.857505
10,13.652986764907837,1778.857462
10,13.661205291748047,1778.857419
10,13.667447328567505,1778.856434
10,13.6740140914917,1778.855449
10,13.681014060974121,1778.855406
10,13.687965631484985,1778.854421
10,13.695641279220581,1778.854378
10,13.71570873260498,1778.854335
10,14.27930760383606,1778.794335
10,14.298426866531372,1778.794292
10,14.313151121139526,1778.794249
10,14.333645582199097,1778.793264
10,14.789071559906006,1778.793221
10,14.83149528503418,1778.792236
10,16.231258869171143,1775.81655
10,16.33414053916931,1685.998165
10,16.374189853668213,1685.998122
10,16.866576671600342,1685.998079
10,16.915290594100952,1685.998036
10,17.824766397476196,1685.997993
10,17.88491177558899,1685.99795
10,17.902071475982666,1685.568509
10,18.8432879447937,1301.532028
10,18.89349889755249,1301.531985
10,18.897069215774536,1301.531942
10,18.904621839523315,1301.531899
10,18.910614252090454,1301.531856
10,20.851541996002197,1301.530661
10,20.96778392791748,1300.618545
10,21.025784969329834,1300.618502
10,21.429651498794556,1293.203447
10,21.432339906692505,1292.291288
10,21.692383766174316,1283.089983
10,21.733381748199463,1283.08994
10,22.180030345916748,1279.61124
10,22.295315980911255,1269.76124
10,22.351747274398804,1269.761197
10,22.403271675109863,1269.761154
10,22.932525873184204,1159.503491
10,23.247236728668213,1159.502296
10,23.307592630386353,1159.501101
10,23.377227067947388,1159.499906
10,23.963000297546387,1159.498711
10,24.013695240020752,1159.497516
10,24.063864707946777,1159.496321
10,24.088903188705444,1102.740991
10,25.32388997077942,1097.402336
10,25.498292446136475,1095.474691
10,26.230592727661133,1089.720613
10,26.257624626159668,904.943141
10,26.28468155860901,904.943098
10,26.335298538208008,904.943055
10,26.390065908432007,904.943012
10,27.313509464263916,904.942969
10,27.681151628494263,904.942926
10,28.395617723464966,904.942883
10,28.729251861572266,904.94284
10,28.754236459732056,904.860483
10,28.756886959075928,904.86044
10,29.417346715927124,904.860397
10,29.671743392944336,904.860354
10,29.724529504776,904.860311
10,30.406240224838257,904.860268
10,31.72647786140442,902.335394
10,34.34302878379822,890.381524
10,34.86255884170532,890.150889
10,34.93848133087158,890.150846
10,35.437397956848145,890.150803
10,35.7567937374115,890.15076
10,35.812493324279785,890.150717
10,35.88343644142151,890.150674
10,35.90225648880005,889.231506
10,43.52401781082153,888.840106
10,45.39583659172058,888.173997
10,46.87447214126587,886.348604
10,47.46933960914612,886.152904
10,49.397029399871826,885.905704
10,52.42946243286133,885.807854
